,corr
VIX_x,0.02768084684443027
VIX_y,0.02768084684443027
inv_pe,0.025062330278430415
hl_range,0.024203085890858695
mkt_rvol,0.02393292982603871
regime_high_vol,0.021241103493539585
TERM_SPREAD_chg_5d,0.016507308062021008
vol_20,0.015591781847106556
breadth_up,0.015128190289735307
high_low_range20,0.014183765491684975
inv_ps,0.012796329891562546
roa,0.01263495456229965
oper_margin,0.011801512990121558
shares,0.01070018000295213
regime_flat,0.010396501069489824
US10Y_chg_1d,0.009353527762215838
rank_mom_5_pct,0.007239238335497988
breadth_up_5,0.005780552975688883
volume,0.005759853349495705
US10Y_x,0.005005955276124604
US10Y_y,0.004687243508767459
idio_vol_60,0.004474151935012459
US2Y_x,0.004377955203102483
US2Y_y,0.004087833742652127
VIX_chg_1d,0.003917953506119217
rank_vol_20_pct,0.003566620015810417
log_mcap,0.002843969575665677
beta_rolling,0.0009089433616530818
rank_vol_z20_pct,0.0008243665589595572
rank_idio_vol_60_pct,0.0006015844119095166
rank_dollar_vol_pct,0.0005492700637172075
dollar_vol,0.00028747705450331913
breadth_up_20,-0.0014952197921824753
is_excluded,-0.0015235853683892768
VIX_chg_5d,-0.0015964650212475946
TERM_SPREAD_y,-0.001621431941858205
TERM_SPREAD_x,-0.001771830703379204
rank_mom_20_pct,-0.0020739407036400193
prev_close,-0.002607300567432436
adj_close,-0.0027861079660186053
high,-0.00301795745986426
open,-0.0031072369856468707
low,-0.0031487801231862085
close,-0.003195718391168067
TERM_SPREAD_chg_1d,-0.003271242518464367
regime_low_vol,-0.00432349657811973
regime_steep,-0.00451146054719712
vol_z20,-0.006052144520396274
gross_margin,-0.007055553467374954
US2Y_chg_1d,-0.007087270704170268
mom_5,-0.008221015417416275
gap,-0.012583645992391623
ps,-0.012992092798284945
US10Y_chg_5d,-0.013323339606136748
ret_1,-0.015833879005085275
pe,-0.0158740873341418
log_ret,-0.016246509028486286
US2Y_chg_5d,-0.016770337756793274
mom_20,-0.01984830657266536
mkt_log_ret,-0.028848807936342032
