date,value,series
2015-01-01,,US10Y
2015-01-01,,US2Y
2015-01-01,,VIX
2015-01-02,2.12,US10Y
2015-01-02,0.66,US2Y
2015-01-02,17.79,VIX
2015-01-05,2.04,US10Y
2015-01-05,0.68,US2Y
2015-01-05,19.92,VIX
2015-01-06,0.65,US2Y
2015-01-06,21.12,VIX
2015-01-06,1.97,US10Y
2015-01-07,19.31,VIX
2015-01-07,1.96,US10Y
2015-01-07,0.62,US2Y
2015-01-08,17.01,VIX
2015-01-08,2.03,US10Y
2015-01-08,0.62,US2Y
2015-01-09,17.55,VIX
2015-01-09,0.59,US2Y
2015-01-09,1.98,US10Y
2015-01-12,0.56,US2Y
2015-01-12,1.92,US10Y
2015-01-12,19.6,VIX
2015-01-13,0.54,US2Y
2015-01-13,1.91,US10Y
2015-01-13,20.56,VIX
2015-01-14,0.51,US2Y
2015-01-14,1.86,US10Y
2015-01-14,21.48,VIX
2015-01-15,0.44,US2Y
2015-01-15,1.77,US10Y
2015-01-15,22.39,VIX
2015-01-16,0.49,US2Y
2015-01-16,20.95,VIX
2015-01-16,1.83,US10Y
2015-01-19,,VIX
2015-01-19,,US10Y
2015-01-19,,US2Y
2015-01-20,19.89,VIX
2015-01-20,1.82,US10Y
2015-01-20,0.53,US2Y
2015-01-21,1.87,US10Y
2015-01-21,0.53,US2Y
2015-01-21,18.85,VIX
2015-01-22,0.53,US2Y
2015-01-22,16.4,VIX
2015-01-22,1.9,US10Y
2015-01-23,0.52,US2Y
2015-01-23,16.66,VIX
2015-01-23,1.81,US10Y
2015-01-26,0.54,US2Y
2015-01-26,1.83,US10Y
2015-01-26,15.52,VIX
2015-01-27,1.83,US10Y
2015-01-27,17.22,VIX
2015-01-27,0.54,US2Y
2015-01-28,1.73,US10Y
2015-01-28,20.44,VIX
2015-01-28,0.5,US2Y
2015-01-29,1.77,US10Y
2015-01-29,18.76,VIX
2015-01-29,0.51,US2Y
2015-01-30,1.68,US10Y
2015-01-30,20.97,VIX
2015-01-30,0.47,US2Y
2015-02-02,19.43,VIX
2015-02-02,0.49,US2Y
2015-02-02,1.68,US10Y
2015-02-03,0.52,US2Y
2015-02-03,17.33,VIX
2015-02-03,1.79,US10Y
2015-02-04,0.52,US2Y
2015-02-04,18.33,VIX
2015-02-04,1.81,US10Y
2015-02-05,16.85,VIX
2015-02-05,1.83,US10Y
2015-02-05,0.52,US2Y
2015-02-06,1.95,US10Y
2015-02-06,0.65,US2Y
2015-02-06,17.29,VIX
2015-02-09,1.96,US10Y
2015-02-09,0.65,US2Y
2015-02-09,18.55,VIX
2015-02-10,2.01,US10Y
2015-02-10,17.23,VIX
2015-02-10,0.67,US2Y
2015-02-11,16.96,VIX
2015-02-11,0.67,US2Y
2015-02-11,2.0,US10Y
2015-02-12,15.34,VIX
2015-02-12,0.61,US2Y
2015-02-12,1.99,US10Y
2015-02-13,14.69,VIX
2015-02-13,0.66,US2Y
2015-02-13,2.02,US10Y
2015-02-16,,VIX
2015-02-16,,US2Y
2015-02-16,,US10Y
2015-02-17,15.8,VIX
2015-02-17,2.14,US10Y
2015-02-17,0.7,US2Y
2015-02-18,2.07,US10Y
2015-02-18,0.62,US2Y
2015-02-18,15.45,VIX
2015-02-19,2.11,US10Y
2015-02-19,0.67,US2Y
2015-02-19,15.29,VIX
2015-02-20,0.67,US2Y
2015-02-20,14.3,VIX
2015-02-20,2.13,US10Y
2015-02-23,14.56,VIX
2015-02-23,2.06,US10Y
2015-02-23,0.64,US2Y
2015-02-24,13.69,VIX
2015-02-24,1.99,US10Y
2015-02-24,0.6,US2Y
2015-02-25,13.84,VIX
2015-02-25,0.61,US2Y
2015-02-25,1.96,US10Y
2015-02-26,0.66,US2Y
2015-02-26,2.03,US10Y
2015-02-26,13.91,VIX
2015-02-27,0.63,US2Y
2015-02-27,2.0,US10Y
2015-02-27,13.34,VIX
2015-03-02,0.66,US2Y
2015-03-02,2.08,US10Y
2015-03-02,13.04,VIX
2015-03-03,0.68,US2Y
2015-03-03,2.12,US10Y
2015-03-03,13.86,VIX
2015-03-04,0.66,US2Y
2015-03-04,14.23,VIX
2015-03-04,2.12,US10Y
2015-03-05,14.04,VIX
2015-03-05,2.11,US10Y
2015-03-05,0.65,US2Y
2015-03-06,15.2,VIX
2015-03-06,2.24,US10Y
2015-03-06,0.73,US2Y
2015-03-09,2.2,US10Y
2015-03-09,0.7,US2Y
2015-03-09,15.06,VIX
2015-03-10,0.7,US2Y
2015-03-10,16.69,VIX
2015-03-10,2.14,US10Y
2015-03-11,0.7,US2Y
2015-03-11,16.87,VIX
2015-03-11,2.11,US10Y
2015-03-12,0.67,US2Y
2015-03-12,2.1,US10Y
2015-03-12,15.42,VIX
2015-03-13,2.13,US10Y
2015-03-13,16.0,VIX
2015-03-13,0.68,US2Y
2015-03-16,2.1,US10Y
2015-03-16,15.61,VIX
2015-03-16,0.66,US2Y
2015-03-17,2.06,US10Y
2015-03-17,15.66,VIX
2015-03-17,0.7,US2Y
2015-03-18,1.93,US10Y
2015-03-18,13.97,VIX
2015-03-18,0.57,US2Y
2015-03-19,1.98,US10Y
2015-03-19,0.63,US2Y
2015-03-19,14.07,VIX
2015-03-20,0.6,US2Y
2015-03-20,13.02,VIX
2015-03-20,1.93,US10Y
2015-03-23,0.6,US2Y
2015-03-23,13.41,VIX
2015-03-23,1.92,US10Y
2015-03-24,13.62,VIX
2015-03-24,1.88,US10Y
2015-03-24,0.58,US2Y
2015-03-25,1.93,US10Y
2015-03-25,0.59,US2Y
2015-03-25,15.44,VIX
2015-03-26,2.01,US10Y
2015-03-26,0.61,US2Y
2015-03-26,15.8,VIX
2015-03-27,1.95,US10Y
2015-03-27,15.07,VIX
2015-03-27,0.58,US2Y
2015-03-30,14.51,VIX
2015-03-30,0.58,US2Y
2015-03-30,1.96,US10Y
2015-03-31,15.29,VIX
2015-03-31,0.56,US2Y
2015-03-31,1.94,US10Y
2015-04-01,15.11,VIX
2015-04-01,0.55,US2Y
2015-04-01,1.87,US10Y
2015-04-02,14.67,VIX
2015-04-02,0.55,US2Y
2015-04-02,1.92,US10Y
2015-04-03,0.49,US2Y
2015-04-03,1.85,US10Y
2015-04-03,,VIX
2015-04-06,1.92,US10Y
2015-04-06,0.51,US2Y
2015-04-06,14.74,VIX
2015-04-07,1.89,US10Y
2015-04-07,0.52,US2Y
2015-04-07,14.78,VIX
2015-04-08,0.54,US2Y
2015-04-08,13.98,VIX
2015-04-08,1.92,US10Y
2015-04-09,13.09,VIX
2015-04-09,1.97,US10Y
2015-04-09,0.56,US2Y
2015-04-10,12.58,VIX
2015-04-10,1.96,US10Y
2015-04-10,0.57,US2Y
2015-04-13,13.94,VIX
2015-04-13,0.54,US2Y
2015-04-13,1.94,US10Y
2015-04-14,0.53,US2Y
2015-04-14,1.9,US10Y
2015-04-14,13.67,VIX
2015-04-15,0.51,US2Y
2015-04-15,1.91,US10Y
2015-04-15,12.84,VIX
2015-04-16,0.5,US2Y
2015-04-16,1.9,US10Y
2015-04-16,12.6,VIX
2015-04-17,0.51,US2Y
2015-04-17,1.87,US10Y
2015-04-17,13.89,VIX
2015-04-20,0.55,US2Y
2015-04-20,13.3,VIX
2015-04-20,1.9,US10Y
2015-04-21,13.25,VIX
2015-04-21,1.92,US10Y
2015-04-21,0.55,US2Y
2015-04-22,12.71,VIX
2015-04-22,1.99,US10Y
2015-04-22,0.57,US2Y
2015-04-23,1.96,US10Y
2015-04-23,0.55,US2Y
2015-04-23,12.48,VIX
2015-04-24,0.54,US2Y
2015-04-24,12.29,VIX
2015-04-24,1.93,US10Y
2015-04-27,0.54,US2Y
2015-04-27,13.12,VIX
2015-04-27,1.94,US10Y
2015-04-28,0.56,US2Y
2015-04-28,2.0,US10Y
2015-04-28,12.41,VIX
2015-04-29,2.06,US10Y
2015-04-29,13.39,VIX
2015-04-29,0.56,US2Y
2015-04-30,2.05,US10Y
2015-04-30,14.55,VIX
2015-04-30,0.58,US2Y
2015-05-01,2.12,US10Y
2015-05-01,12.7,VIX
2015-05-01,0.6,US2Y
2015-05-04,2.16,US10Y
2015-05-04,12.85,VIX
2015-05-04,0.6,US2Y
2015-05-05,14.31,VIX
2015-05-05,0.62,US2Y
2015-05-05,2.19,US10Y
2015-05-06,0.65,US2Y
2015-05-06,15.15,VIX
2015-05-06,2.25,US10Y
2015-05-07,0.63,US2Y
2015-05-07,15.13,VIX
2015-05-07,2.18,US10Y
2015-05-08,12.86,VIX
2015-05-08,2.16,US10Y
2015-05-08,0.59,US2Y
2015-05-11,2.28,US10Y
2015-05-11,0.62,US2Y
2015-05-11,13.85,VIX
2015-05-12,2.28,US10Y
2015-05-12,0.61,US2Y
2015-05-12,13.86,VIX
2015-05-13,2.27,US10Y
2015-05-13,13.76,VIX
2015-05-13,0.59,US2Y
2015-05-14,12.74,VIX
2015-05-14,0.56,US2Y
2015-05-14,2.23,US10Y
2015-05-15,12.38,VIX
2015-05-15,0.55,US2Y
2015-05-15,2.14,US10Y
2015-05-18,12.73,VIX
2015-05-18,0.58,US2Y
2015-05-18,2.23,US10Y
2015-05-19,12.85,VIX
2015-05-19,0.63,US2Y
2015-05-19,2.27,US10Y
2015-05-20,12.88,VIX
2015-05-20,2.26,US10Y
2015-05-20,0.6,US2Y
2015-05-21,2.19,US10Y
